timestamp,open,high,low,close,volume
1768847400000,95008.59,95091.0,94950.76,95000.0,167.094
1768847460000,94974.73,95096.35,94904.87,95038.76,261.1207
1768847520000,95059.18,95168.98,94959.32,95037.76,441.76
1768847580000,94892.1,95178.39,94805.25,94999.54,620.1169
1768847640000,95016.84,95080.15,94966.3,95009.8,444.2318
1768847700000,95043.82,95136.58,94997.57,95060.0,631.1402
1768847760000,95057.97,95197.47,95005.66,95126.56,530.4777
1768847820000,95073.96,95130.11,95045.33,95084.0,459.0129
1768847880000,95112.45,95205.29,95039.88,95092.13,253.0042
1768847940000,95062.14,95257.47,94971.96,95100.15,402.2253
1768848000000,94986.46,95152.37,94740.24,94991.96,577.5215
1768848060000,94813.9,95045.52,94679.08,94928.84,748.9167
1768848120000,94914.4,95043.91,94834.37,94936.54,946.1592
1768848180000,95002.42,95171.89,94826.43,94991.8,687.6726
1768848240000,94922.08,95057.74,94888.15,94981.37,684.0111
1768848300000,94884.18,95034.11,94836.64,94960.6,141.8971
1768848360000,94991.53,95084.59,94858.36,94946.38,127.6405
1768848420000,94983.18,95035.16,94847.86,94927.4,329.9765
1768848480000,94908.61,95052.01,94828.38,94909.22,602.2324
1768848540000,94863.88,95070.94,94751.8,94880.61,399.0576
1768848600000,94743.98,94973.14,94657.07,94852.29,304.4616
1768848660000,94746.14,95017.43,94650.22,94882.12,168.5848
1768848720000,94787.75,94941.89,94638.76,94822.28,632.3678
1768848780000,94820.8,94988.1,94603.23,94784.04,779.6799
1768848840000,94762.63,94871.79,94689.09,94810.4,570.8389
1768848900000,94833.78,94944.25,94663.6,94822.63,128.2364
1768848960000,94847.0,94908.75,94656.29,94812.96,153.4334
1768849020000,94838.64,94899.64,94730.88,94800.49,430.4823
1768849080000,94788.39,94873.02,94682.55,94771.72,431.9589
1768849140000,94689.65,94826.44,94596.16,94735.54,94.2801
1768849200000,94823.49,94935.65,94645.69,94790.96,907.8782
1768849260000,94703.51,94919.27,94619.23,94781.64,851.1624
1768849320000,94763.14,94900.2,94523.81,94791.6,487.0908
1768849380000,94749.19,94839.0,94587.84,94728.08,173.07
1768849440000,94790.89,94889.68,94662.42,94777.59,1067.5674
1768849500000,94889.26,94962.56,94690.7,94845.42,861.0185
1768849560000,94829.15,95033.46,94726.27,94866.43,892.161
1768849620000,94799.35,95043.36,94680.27,94846.25,295.7495
1768849680000,94742.94,95034.66,94602.5,94838.19,143.229
1768849740000,94651.11,94913.57,94570.25,94802.89,305.8457
1768849800000,94788.9,94823.52,94727.45,94783.12,606.2983
1768849860000,94816.07,94915.32,94771.26,94846.98,992.0779
1768849920000,94940.38,94967.78,94852.03,94913.12,347.7781
1768849980000,94984.88,95021.22,94899.13,94946.85,120.9344
1768850040000,94935.47,95094.73,94719.56,94918.27,263.968
1768850100000,94945.31,94991.38,94839.31,94917.84,400.6046
1768850160000,95016.78,95165.39,94885.05,94991.73,1171.4406
1768850220000,94949.43,95036.79,94910.45,94984.94,608.2084
1768850280000,94964.74,95010.71,94924.34,94970.51,169.8173
1768850340000,94983.13,95029.82,94897.4,94954.15,272.6368
1768850400000,95059.86,95134.21,94867.14,94987.33,946.8439
1768850460000,95020.58,95151.08,94798.53,94972.69,1042.4811
1768850520000,94979.71,95022.79,94854.92,94966.09,538.2674
1768850580000,95055.91,95184.6,94909.88,95030.08,726.8485
1768850640000,94983.99,95088.96,94921.95,95027.71,195.3889
1768850700000,95090.15,95191.01,94974.84,95051.01,253.0581
1768850760000,95168.56,95224.14,95078.1,95123.21,498.0349
1768850820000,95066.28,95103.7,94998.46,95071.78,263.1229
1768850880000,95060.96,95241.54,94956.75,95051.03,220.571
1768850940000,95056.19,95140.58,94901.2,95036.25,913.8861
1768851000000,95074.34,95116.49,94965.8,95049.95,240.7589
1768851060000,94970.69,95068.57,94900.65,94956.37,922.2797
1768851120000,94859.25,95037.32,94787.58,94925.6,300.2729
1768851180000,94941.44,94993.88,94833.11,94918.66,318.8176
1768851240000,94930.83,95123.78,94800.0,94951.04,1160.9803
1768851300000,94981.74,95071.94,94897.2,94991.67,492.3149
1768851360000,94977.12,95044.39,94916.11,94973.05,359.957
1768851420000,94851.18,94901.61,94806.11,94864.2,734.277
1768851480000,94863.76,94950.5,94719.0,94835.09,528.8391
1768851540000,94895.37,94967.34,94666.49,94811.19,1039.938
1768851600000,94873.95,94985.3,94842.48,94921.07,1055.4791
1768851660000,94984.09,95086.42,94695.52,94890.15,359.0578
1768851720000,94857.96,95056.34,94714.46,94904.59,355.6279
1768851780000,94864.28,95069.23,94800.85,94945.99,757.8742
1768851840000,95022.67,95112.23,94789.54,94997.28,293.6794
1768851900000,95142.54,95212.93,94943.64,95075.43,1039.5682
1768851960000,94967.58,95095.05,94883.28,95007.49,504.7549
1768852020000,94904.43,95047.66,94842.96,94930.41,261.2487
1768852080000,94966.16,95000.06,94841.78,94907.55,147.6356
1768852140000,94849.77,94996.22,94650.76,94838.72,184.6168
1768852200000,94910.9,94997.64,94715.2,94822.61,476.5677
1768852260000,94817.84,94928.21,94677.47,94802.85,310.3659
1768852320000,94913.83,94963.33,94795.34,94858.59,608.1782
1768852380000,94767.51,94976.81,94698.86,94844.91,805.41
1768852440000,94816.16,94994.55,94661.24,94851.45,957.0697
1768852500000,94839.54,94987.13,94744.52,94911.16,139.3291
1768852560000,94837.24,94983.4,94708.84,94852.93,499.3294
1768852620000,94765.41,94795.19,94709.25,94748.14,471.0877
1768852680000,94772.6,94944.72,94619.84,94781.21,747.4621
1768852740000,94816.5,94901.65,94631.42,94784.54,556.4587
1768852800000,94850.69,94919.74,94687.44,94814.58,103.0945
1768852860000,94820.49,95020.38,94712.98,94863.91,662.7595
1768852920000,94953.37,95009.52,94810.77,94895.55,539.4637
1768852980000,94766.11,94976.87,94619.09,94841.25,349.5167
1768853040000,94841.45,95014.98,94752.73,94876.77,853.2205
1768853100000,94846.41,94934.46,94793.04,94861.73,86.3893
1768853160000,94819.27,94950.56,94714.24,94805.66,367.9512
1768853220000,94919.26,95009.62,94836.28,94908.07,188.4754
1768853280000,94986.9,95026.87,94836.94,94915.21,239.7407
1768853340000,94904.67,94974.51,94736.68,94856.0,147.2644
1768853400000,94940.91,95026.65,94754.04,94910.15,498.8079
1768853460000,94890.39,95080.47,94813.87,94967.77,155.8802
1768853520000,95009.28,95039.05,94911.49,94992.51,184.9105
1768853580000,94944.42,95050.43,94837.27,94966.15,172.0158
1768853640000,94897.04,95019.3,94845.88,94913.11,198.2004
1768853700000,94996.36,95073.1,94863.34,94932.77,366.5362
1768853760000,94928.23,95117.69,94845.02,94957.7,452.2487
1768853820000,95008.6,95066.53,94885.39,94962.96,400.0453
1768853880000,95021.4,95256.5,94901.58,95035.19,89.5528
1768853940000,95066.72,95091.22,94991.91,95053.32,648.0566
1768854000000,94957.69,95040.82,94911.47,94981.92,591.1361
1768854060000,95003.82,95096.91,94785.75,94954.81,423.8155
1768854120000,94904.0,95109.73,94850.57,95006.16,504.9949
1768854180000,95063.78,95170.89,94821.54,94965.92,134.437
1768854240000,94986.12,95064.36,94960.97,95027.32,604.242
1768854300000,95068.16,95122.39,95028.9,95078.8,560.6747
1768854360000,95109.83,95234.64,95025.17,95096.34,445.8931
1768854420000,95065.64,95109.98,94975.39,95075.06,486.1853
1768854480000,94991.14,95049.3,94958.02,94988.34,836.3313
1768854540000,94916.84,95140.95,94859.59,95025.21,532.2964
1768854600000,95016.96,95129.13,94849.3,94974.69,655.1165
1768854660000,94888.55,95119.42,94770.02,94937.39,786.5168
1768854720000,94935.54,95140.45,94836.26,94974.48,177.0003
1768854780000,94986.5,95220.87,94845.31,95000.04,514.5603
1768854840000,94963.04,95050.36,94800.78,94957.33,619.1525
1768854900000,94902.43,95086.96,94793.03,95003.06,1384.2591
1768854960000,95039.78,95099.71,94969.71,95043.36,935.9592
1768855020000,95057.36,95187.34,94967.03,95091.14,178.8212
1768855080000,95151.53,95179.27,95098.88,95141.62,511.3862
1768855140000,95195.25,95390.61,94973.78,95185.27,312.6705
1768855200000,95278.72,95570.33,95117.6,95386.91,224.7492
1768855260000,95477.71,95655.15,95247.19,95458.01,651.7117
1768855320000,95412.82,95613.39,95346.13,95480.86,134.4392
1768855380000,95446.6,95487.07,95405.21,95446.91,191.3295
1768855440000,95426.61,95469.57,95375.92,95407.23,252.5212
1768855500000,95520.39,95583.96,95419.21,95510.15,99.6419
1768855560000,95462.82,95509.13,95358.66,95422.24,474.4447
1768855620000,95301.12,95500.99,95224.75,95376.27,396.8126
1768855680000,95439.55,95531.96,95224.09,95432.05,916.3707
1768855740000,95360.07,95578.85,95252.12,95403.66,354.6919
1768855800000,95429.1,95604.03,95233.94,95412.76,685.5326
1768855860000,95418.87,95449.74,95360.65,95417.47,952.6757
1768855920000,95367.3,95510.03,95312.49,95393.14,584.4147
1768855980000,95329.61,95361.22,95257.92,95309.59,681.1498
1768856040000,95346.63,95544.5,95183.46,95305.17,656.4404
1768856100000,95081.45,95382.66,94984.61,95237.06,1056.9596
1768856160000,95245.48,95316.52,95185.07,95259.08,305.9831
1768856220000,95268.92,95389.05,95121.58,95278.87,857.3177
1768856280000,95434.82,95504.56,95213.26,95302.56,610.8229
1768856340000,95216.6,95416.54,95088.66,95281.76,732.1524
1768856400000,95210.09,95366.65,95168.85,95261.97,138.9302
1768856460000,95260.02,95349.63,94989.12,95226.22,447.1141
1768856520000,95188.93,95488.77,95084.02,95286.39,667.0911
1768856580000,95309.95,95474.21,95257.11,95387.67,85.0451
1768856640000,95373.51,95603.44,95197.63,95424.16,497.852
1768856700000,95408.6,95551.79,95355.95,95458.37,311.7369
1768856760000,95416.93,95546.88,95305.63,95399.95,1264.1965
1768856820000,95417.69,95599.2,95270.77,95420.59,640.6364
1768856880000,95348.25,95576.26,95215.03,95435.19,633.6386
1768856940000,95261.21,95390.14,95175.56,95253.52,297.9766
1768857000000,95196.57,95246.84,95075.24,95198.33,108.6183
